시군구,단지명,가격
부산광역시 강서구 신호동,부산신호윌더하임,21500.0
부산광역시 금정구 구서동,구서하모니빌리지,25000.0
부산광역시 금정구 장전동,금정빌라,21500.0
부산광역시 기장군 정관읍 용수리,정관신도시한진해모로,29400.0
부산광역시 기장군 정관읍 용수리,정관신도시한진해모로,30000.0
부산광역시 남구 용호동,동림하이츠,22000.0
부산광역시 동래구 사직동,한신,26000.0
부산광역시 동래구 안락동,화목,27000.0
부산광역시 동래구 온천동,삼오에펠빌리지,25000.0
부산광역시 부산진구 개금동,우성,27500.0
부산광역시 부산진구 당감동,태우선파크,24500.0
부산광역시 부산진구 부암동,협성피닉스타운,26300.0
부산광역시 부산진구 부암동,협성피닉스타운,30000.0
부산광역시 부산진구 초읍동,창신그린힐,24750.0
부산광역시 부산진구 초읍동,초읍대우,28500.0
부산광역시 부산진구 초읍동,초읍대우,28800.0
부산광역시 북구 금곡동,유림2차(2),28000.0
부산광역시 사상구 엄궁동,엄궁대림,27000.0
부산광역시 사하구 감천동,감천유림2차,24000.0
부산광역시 사하구 다대동,삼환,26000.0
부산광역시 사하구 다대동,삼환,30000.0
부산광역시 사하구 다대동,성원,30000.0
부산광역시 사하구 다대동,자유,21000.0
부산광역시 사하구 당리동,당리신익,27000.0
부산광역시 사하구 하단동,가락타운2,27800.0
부산광역시 영도구 동삼동,국제마마뉴비치타운,25000.0
부산광역시 영도구 동삼동,반도보라비치타운,27500.0
부산광역시 해운대구 반여동,센텀대림아파트,30000.0
