지역,매장명,주소,전화번호
대전 서구,대전호수공원점,"대전광역시 서구 도안동로 234-42 1,2층 (도안동 2336)",070-4651-6636
부산 남구,국립부경대청운관점,"부산광역시 남구 용소로 45 (대연동, 국립부경대학교대연캠퍼스) 청운관 1층",051-629-7419
경기 이천시,이천점,"경기도 이천시 어재연로 35, 1~3층 (창전동 160-25)",031-635-6655
충남 공주시,(하)정안알밤휴게소점,충청남도 공주시 정안면 논산천안고속도로 57 (정안하행휴게소) .,
충남 공주시,(상)정안알밤휴게소점,충청남도 공주시 정안면 논산천안고속도로 58 (정안상행휴게소) .,
제주 제주시,제주곽지해수욕장점,제주특별자치도 제주시 애월읍 곽지3길 27-1 2~3층,064-799-1137 
서울 동작구,신대방삼거리역점,서울특별시 동작구 상도로 60 (대방동) 1층~2층,02-823-2377
대전 중구,대전삼부스포렉스점,"대전광역시 중구 태평로 83, 삼부스포렉스 1층 (태평동 408-11) .",042-301-9960
전북 익산시,익산부송점,"전라북도 익산시 하나로10길 70-1 (부송동, 레스트빌딩 1층) .",063-832-1717
경남 창원시 진해구,진해속천점,경상남도 창원시 진해구 태평로 132 (속천동) 2~3층,070-7786-1019
