순위,제목,가수,앨범,좋아요
1,Golden,HUNTR/X,KPop Demon Hunters (Soundtrack from the Netflix Film),"172,787"
2,뛰어(JUMP),BLACKPINK,뛰어(JUMP),"78,276"
3,Drowning,WOODZ,OO-LI,"254,476"
4,Soda Pop,KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film),"105,574"
5,FAMOUS,ALLDAY PROJECT,FAMOUS,"114,887"
6,Rich Man,aespa,Rich Man - The 6th Mini Album,"39,763"
7,시작의 아이 ❍,박다혜,시작의 아이 ❍ ハジマリのコ Starting With You : ♡,"49,978"
8,XOXZ,IVE (아이브),IVE SECRET,"39,063"
9,어제보다 슬픈 오늘,우디 (Woody),어제보다 슬픈 오늘,"62,291"
10,모르시나요(PROD.로코베리),조째즈,모르시나요,"95,148"
11,운명 (2025),먼데이 키즈,먼키의 발자국 Vol.1 With 이이경,"24,560"
12,너에게 닿기를,10CM,너에게 닿기를,"132,725"
13,Dirty Work,aespa,Dirty Work,"64,160"
14,시작의 아이,마크툽 (MAKTUB),시작의 아이 ハジマリのコ (Starting With You),"76,904"
15,Whiplash,aespa,Whiplash - The 5th Mini Album,"146,682"
16,"바이, 썸머",아이유,"바이, 썸머","41,628"
17,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON,"HOME SWEET HOME (feat. 태양, 대성)","221,538"
18,한번 더 이별,이창섭,한번 더 이별 (첫사랑 엔딩 X 이창섭),"19,431"
19,HAPPY,DAY6 (데이식스),Fourever,"203,110"
20,like JENNIE,제니 (JENNIE),Ruby,"97,774"
21,나는 반딧불,황가람,나는 반딧불,"153,183"
22,청춘만화,이무진,만화 (滿花),"84,818"
23,천상연,이창섭,천상연 (웹툰 '선녀외전' X 이창섭 (LEE CHANGSUB)),"136,555"
24,Your Idol,KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film),"62,956"
25,꿈의 버스,DAY6 (데이식스),The DECADE,"36,982"
26,Never Ending Story,아이유,꽃갈피 셋,"75,719"
27,APT.,로제 (ROSÉ),APT.,"217,308"
28,toxic till the end,로제 (ROSÉ),rosie,"126,407"
29,멸종위기사랑,이찬혁,EROS,"40,174"
30,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity,"360,505"
31,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해,"487,894"
32,내게 사랑이 뭐냐고 물어본다면,로이킴,내게 사랑이 뭐냐고 물어본다면,"82,557"
33,소나기,이클립스 (ECLIPSE),선재 업고 튀어 OST Part 1,"188,279"
34,WICKED,ALLDAY PROJECT,FAMOUS,"50,523"
35,TOO BAD (feat. Anderson .Paak),G-DRAGON,Übermensch,"151,610"
36,Flower,오반(OVAN),교회오빠,"68,950"
37,Die With A Smile,Lady Gaga,Die With A Smile,"117,543"
38,REBEL HEART,IVE (아이브),IVE EMPATHY,"109,918"
39,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2,"231,825"
40,예뻤어,DAY6 (데이식스),Every DAY6 February,"375,345"
41,body,다영 (DAYOUNG),"gonna love me, right?","20,111"
42,Welcome to the Show,DAY6 (데이식스),Fourever,"188,066"
43,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),"160,295"
44,STYLE,Hearts2Hearts (하츠투하츠),STYLE,"39,000"
45,오늘만 I LOVE YOU,BOYNEXTDOOR,오늘만 I LOVE YOU,"165,845"
46,빌려온 고양이 (Do the Dance),아일릿(ILLIT),bomb,"43,982"
47,MY LOVE(2025),이예은,MY LOVE(2025),"33,056"
48,Supernova,aespa,Armageddon - The 1st Album,"185,539"
49,주저하는 연인들을 위해,잔나비,전설,"448,711"
50,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3,"437,963"
51,가만히 눈을 감고,DK(디셈버),가만히 눈을 감고,"8,719"
52,너의 모든 순간,성시경,별에서 온 그대 OST Part.7,"312,181"
53,Love wins all,아이유,The Winning,"215,575"
54,INSIDE OUT,DAY6 (데이식스),The DECADE,"29,899"
55,How It’s Done,HUNTR/X,KPop Demon Hunters (Soundtrack from the Netflix Film),"47,416"
56,첫 만남은 계획대로 되지 않아,TWS (투어스),TWS 1st Mini Album ‘Sparkling Blue’,"165,180"
57,청혼하지 않을 이유를 못 찾았어,이무진,청혼하지 않을 이유를 못 찾았어,"63,978"
58,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙),"230,298"
59,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호),"217,931"
60,I AM,IVE (아이브),I've IVE,"233,630"
61,LIKE YOU BETTER,프로미스나인,From Our 20's,"38,591"
62,순간을 영원처럼,임영웅,IM HERO 2,"35,836"
63,비의 랩소디,임재현,비의 랩소디,"105,390"
64,슬픈 초대장,순순희(지환),슬픈 초대장,"74,743"
65,HANDS UP,MEOVV (미야오),MY EYES OPEN VVIDE,"35,283"
66,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans',"312,462"
67,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.,"226,600"
68,고민중독,QWER,1st Mini Album 'MANITO',"151,569"
69,눈물참기,QWER,"3rd Mini Album '난 네 편이야, 온 세상이 불협일지라도'","36,628"
70,우리들의 블루스,임영웅,IM HERO,"120,746"
71,에피소드,이무진,에피소드,"134,035"
72,Magnetic,아일릿(ILLIT),SUPER REAL ME,"138,314"
73,내 이름 맑음,QWER,2nd Mini Album 'Algorithm's Blossom',"103,146"
74,How Sweet,NewJeans,How Sweet,"154,075"
75,Dash,PLAVE,Caligo Pt.1,"62,137"
76,PO￦ER,G-DRAGON,PO￦ER,"161,482"
77,DRIP,BABYMONSTER,DRIP,"67,527"
78,헤어지자 말해요,박재정,1집 Alone,"190,043"
79,HOT,LE SSERAFIM (르세라핌),HOT,"46,222"
80,인사,범진,인사,"153,399"
81,ATTITUDE,IVE (아이브),IVE EMPATHY,"65,299"
82,Supersonic,프로미스나인,Supersonic,"87,312"
83,다시 만날 수 있을까,임영웅,IM HERO,"97,653"
84,UP (KARINA Solo),aespa,SYNK : PARALLEL LINE - Special Digital Single,"115,356"
85,들꽃이 될게요,임영웅,IM HERO 2,"30,167"
86,여름이었다,H1-KEY (하이키),H1-KEY 4th Mini Album [Lovestruck],"25,019"
87,IRIS OUT,Yonezu Kenshi,IRIS OUT,"14,119"
88,그댈 위한 멜로디,임영웅,IM HERO 2,"29,738"
89,천국보다 아름다운,임영웅,천국보다 아름다운,"40,131"
90,나는 아픈 건 딱 질색이니까,i-dle (아이들),2,"172,893"
91,숨바꼭질 (Hide and Seek),PLAVE,숨바꼭질 (Hide and Seek),"27,804"
92,답장을 보낸지,임영웅,IM HERO 2,"30,693"
93,Free,EJAE,KPop Demon Hunters (Soundtrack from the Netflix Film),"40,021"
94,비가 와서,임영웅,IM HERO 2,"29,539"
95,미치게 그리워서,황가람,미치게 그리워서,"34,483"
96,알겠어요 미안해요,임영웅,IM HERO 2,"28,374"
97,THUNDER,세븐틴 (SEVENTEEN),SEVENTEEN 5th Album ‘HAPPY BURSTDAY’,"67,594"
98,숲,최유리,유영,"175,321"
99,ULSSIGU,임영웅,IM HERO 2,"29,171"
100,I'll Never Love Again,WOODZ,I'll Never Love Again,"13,553"
