항공사,출발시간,도착시간,좌석타입,가격
에어부산,06:50,07:55,할인석,76080
에어부산,06:50,07:55,일반석,98700
이스타항공,06:55,07:55,할인석,65200
이스타항공,06:55,07:55,일반석,98700
대한항공,07:00,08:00,일반석,101700
대한항공,07:00,08:00,비즈니스석,161700
진에어,07:30,08:30,일반석,94700
에어부산,07:30,08:35,할인석,96090
에어부산,07:30,08:35,일반석,98700
에어부산,07:35,08:35,일반석,98700
에어부산,08:00,09:00,일반석,98700
제주항공,08:00,09:05,일반석,98700
대한항공,09:55,10:55,비즈니스석,233900
대한항공,10:20,11:20,일반석,102700
이스타항공,11:20,12:20,할인석,69200
이스타항공,11:20,12:20,일반석,98700
에어부산,11:25,12:35,일반석,98700
에어부산,11:30,12:35,일반석,98700
진에어,12:15,13:15,할인석,60400
대한항공,12:15,13:15,일반석,92700
진에어,12:15,13:15,일반석,94700
제주항공,12:20,13:20,할인석,65600
제주항공,12:20,13:20,일반석,98700
에어부산,13:25,14:25,할인석,54330
에어부산,13:25,14:25,일반석,98700
진에어,13:45,14:45,할인석,51300
대한항공,13:45,14:45,할인석,68700
대한항공,13:45,14:45,일반석,92700
진에어,13:45,14:45,일반석,94700
진에어,14:20,15:20,할인석,48300
대한항공,14:20,15:20,할인석,68700
대한항공,14:20,15:20,일반석,92700
진에어,14:20,15:20,일반석,94700
에어부산,14:30,15:35,할인석,49980
에어부산,14:30,15:35,일반석,98700
아시아나항공,14:30,15:35,일반석,98700
제주항공,14:40,15:40,할인석,49400
제주항공,14:40,15:40,일반석,98700
에어부산,15:00,16:00,할인석,47370
에어부산,15:00,16:00,일반석,98700
아시아나항공,15:00,16:00,일반석,98700
제주항공,15:40,16:40,할인석,49400
제주항공,15:40,16:40,일반석,98700
대한항공,16:40,17:40,일반석,101700
에어부산,16:50,17:55,할인석,43020
에어부산,16:50,17:55,일반석,98700
아시아나항공,16:50,17:55,일반석,98700
제주항공,16:55,18:00,할인석,45400
제주항공,16:55,18:00,일반석,98700
이스타항공,17:30,18:30,할인석,41500
에어부산,17:30,18:30,할인석,42150
이스타항공,17:30,18:30,일반석,98700
에어부산,17:30,18:30,일반석,98700
아시아나항공,17:30,18:30,일반석,98700
이스타항공,18:00,19:00,할인석,41500
이스타항공,18:00,19:00,일반석,98700
에어부산,18:15,19:15,할인석,54330
에어부산,18:15,19:15,일반석,98700
진에어,19:00,20:00,일반석,94700
진에어,19:00,20:00,비즈니스석,149700
대한항공,19:20,20:20,일반석,101700
