순위,제목,가수,앨범
1,Blue Valentine,NMIXX,Blue Valentine
2,Golden,HUNTR/X/EJAE/AUDREY NUNA/REI AMI/KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film)
3,Drowning,WOODZ,OO-LI
4,뛰어(JUMP),BLACKPINK,뛰어(JUMP)
5,Soda Pop,KPop Demon Hunters Cast/Danny Chung/Saja Boys/Andrew Choi/Neckwav/Kevin Woo/samUIL Lee,KPop Demon Hunters (Soundtrack from the Netflix Film)
6,타임캡슐,다비치,타임캡슐
7,어제보다 슬픈 오늘,우디 (Woody),어제보다 슬픈 오늘
8,FAMOUS,ALLDAY PROJECT,FAMOUS
9,시작의 아이 ❍,박다혜/마크툽 (MAKTUB),시작의 아이 ❍ ハジマリのコ Starting With You : ♡
10,Good Goodbye,화사 (HWASA),Good Goodbye
11,Rich Man,aespa,Rich Man - The 6th Mini Album
12,XOXZ,IVE (아이브),IVE SECRET
13,모르시나요(PROD.로코베리),조째즈,모르시나요
14,Hollywood Action,BOYNEXTDOOR,The Action
15,한번 더 이별,이창섭,한번 더 이별 (첫사랑 엔딩 X 이창섭)
16,body,다영 (DAYOUNG),"gonna love me, right?"
17,운명 (2025),먼데이 키즈/이이경,먼키의 발자국 Vol.1 With 이이경
18,너에게 닿기를,10CM,너에게 닿기를
19,IRIS OUT,Kenshi Yonezu,IRIS OUT
20,오늘만 I LOVE YOU,BOYNEXTDOOR,오늘만 I LOVE YOU
21,Whiplash,aespa,Whiplash - The 5th Mini Album
22,시작의 아이,마크툽 (MAKTUB),시작의 아이 ハジマリのコ (Starting With You)
23,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON,"HOME SWEET HOME (feat. 태양, 대성)"
24,천상연,이창섭,천상연 (웹툰 '선녀외전' X 이창섭 (LEE CHANGSUB))
25,나는 반딧불,황가람,나는 반딧불
26,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤),항해
27,청춘만화,이무진,만화 (滿花)
28,HAPPY,DAY6 (데이식스),Fourever
29,toxic till the end,로제 (ROSÉ),rosie
30,내게 사랑이 뭐냐고 물어본다면,로이킴,내게 사랑이 뭐냐고 물어본다면
31,Dirty Work,aespa,Dirty Work
32,멸종위기사랑,이찬혁,EROS
33,like JENNIE,제니 (JENNIE),Ruby
34,Never Ending Story,아이유,꽃갈피 셋
35,소나기,이클립스 (ECLIPSE),선재 업고 튀어 OST Part 1
36,APT.,로제 (ROSÉ)/Bruno Mars,APT.
37,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
38,한 페이지가 될 수 있게,DAY6 (데이식스),The Book of Us : Gravity
39,"바이, 썸머",아이유,"바이, 썸머"
40,주저하는 연인들을 위해,잔나비,전설
41,Flower,오반(OVAN),교회오빠
42,Die With A Smile,Lady Gaga/Bruno Mars,Die With A Smile
43,예뻤어,DAY6 (데이식스),Every DAY6 February
44,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3
45,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection))
46,너의 모든 순간,성시경,별에서 온 그대 OST Part.7
47,Your Idol,KPop Demon Hunters Cast/Danny Chung/Saja Boys/Andrew Choi/Neckwav/Kevin Woo/samUIL Lee,KPop Demon Hunters (Soundtrack from the Netflix Film)
48,STYLE,Hearts2Hearts (하츠투하츠),STYLE
49,가만히 눈을 감고,DK(디셈버),가만히 눈을 감고
50,TOO BAD (feat. Anderson .Paak),G-DRAGON,Übermensch
51,REBEL HEART,IVE (아이브),IVE EMPATHY
52,Love wins all,아이유,The Winning
53,Welcome to the Show,DAY6 (데이식스),Fourever
54,첫 만남은 계획대로 되지 않아,TWS (투어스),TWS 1st Mini Album ‘Sparkling Blue’
55,순간을 영원처럼,임영웅,IM HERO 2
56,빌려온 고양이 (Do the Dance),아일릿(ILLIT),bomb
57,MY LOVE(2025),이예은/아샤트리/전건호,MY LOVE(2025)
58,WICKED,ALLDAY PROJECT,FAMOUS
59,청혼하지 않을 이유를 못 찾았어,이무진,청혼하지 않을 이유를 못 찾았어
60,Supernova,aespa,Armageddon - The 1st Album
61,헤어지자 말해요,박재정,1집 Alone
62,있잖아,BOYNEXTDOOR,The Action
63,다정히 내 이름을 부르면,경서예지/전건호,다정히 내 이름을 부르면 (경서예지 x 전건호)
64,다시 만날 수 있을까,임영웅,IM HERO
65,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙)
66,우리들의 블루스,임영웅,IM HERO
67,꿈의 버스,DAY6 (데이식스),The DECADE
68,비의 랩소디,임재현,비의 랩소디
69,I AM,IVE (아이브),I've IVE
70,슬픈 초대장,순순희(지환),슬픈 초대장
71,Magnetic,아일릿(ILLIT),SUPER REAL ME
72,HANDS UP,MEOVV (미야오),MY EYES OPEN VVIDE
73,에피소드,이무진,에피소드
74,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.
75,고민중독,QWER,1st Mini Album 'MANITO'
76,내 이름 맑음,QWER,2nd Mini Album 'Algorithm's Blossom'
77,Hype Boy,NewJeans,NewJeans 1st EP 'New Jeans'
78,인사,범진,인사
79,DRIP,BABYMONSTER,DRIP
80,들꽃이 될게요,임영웅,IM HERO 2
81,How It’s Done,HUNTR/X/EJAE/AUDREY NUNA/REI AMI/KPop Demon Hunters Cast,KPop Demon Hunters (Soundtrack from the Netflix Film)
82,JANE DOE,Kenshi Yonezu/Hikaru Utada (우타다 히카루),JANE DOE
83,How Sweet,NewJeans,How Sweet
84,PO￦ER,G-DRAGON,PO￦ER
85,눈물참기,QWER,"3rd Mini Album '난 네 편이야, 온 세상이 불협일지라도'"
86,LIKE YOU BETTER,프로미스나인,From Our 20's
87,그댈 위한 멜로디,임영웅,IM HERO 2
88,ATTITUDE,IVE (아이브),IVE EMPATHY
89,FOCUS,Hearts2Hearts (하츠투하츠),FOCUS - The 1st Mini Album
90,숲,최유리,유영
91,HOT,LE SSERAFIM (르세라핌),HOT
92,Supersonic,프로미스나인,Supersonic
93,천국보다 아름다운,임영웅,천국보다 아름다운
94,나는 아픈 건 딱 질색이니까,i-dle (아이들),2
95,비가 와서,임영웅,IM HERO 2
96,Live In Paris,BOYNEXTDOOR,The Action
97,답장을 보낸지,임영웅,IM HERO 2
98,UP (KARINA Solo),aespa,SYNK : PARALLEL LINE - Special Digital Single
99,Bathroom,BOYNEXTDOOR,The Action
100,INSIDE OUT,DAY6 (데이식스),The DECADE
